test_id,dimension,n,mean,std,min,max,median,cv,ci_lower,ci_upper
multi_turn_long_context_101,commitment_consistency,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_101,initiative_timing,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_101,intent_alignment_drift,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_101,interaction_coherence,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_101,interaction_efficiency,20,2.0,0.0,2,2,2.0,0.0,2.0,2.0
multi_turn_long_context_101,interaction_preference_alignment,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_101,overall_user_experience,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_101,user_cognitive_load_trajectory,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_114,commitment_consistency,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_114,initiative_timing,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_114,intent_alignment_drift,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_114,interaction_coherence,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_114,interaction_efficiency,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_114,interaction_preference_alignment,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_114,overall_user_experience,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_114,user_cognitive_load_trajectory,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_138,commitment_consistency,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_138,initiative_timing,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_138,intent_alignment_drift,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_138,interaction_coherence,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_138,interaction_efficiency,20,2.0,0.0,2,2,2.0,0.0,2.0,2.0
multi_turn_long_context_138,interaction_preference_alignment,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_138,overall_user_experience,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_138,user_cognitive_load_trajectory,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_144,commitment_consistency,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_144,initiative_timing,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_144,intent_alignment_drift,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_144,interaction_coherence,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_144,interaction_efficiency,20,2.0,0.0,2,2,2.0,0.0,2.0,2.0
multi_turn_long_context_144,interaction_preference_alignment,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_144,overall_user_experience,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_144,user_cognitive_load_trajectory,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_157,commitment_consistency,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_157,initiative_timing,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_157,intent_alignment_drift,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_157,interaction_coherence,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_157,interaction_efficiency,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
multi_turn_long_context_157,interaction_preference_alignment,20,5.0,0.0,5,5,5.0,0.0,5.0,5.0
multi_turn_long_context_157,overall_user_experience,20,4.0,0.0,4,4,4.0,0.0,4.0,4.0
multi_turn_long_context_157,user_cognitive_load_trajectory,20,3.0,0.0,3,3,3.0,0.0,3.0,3.0
