persona,accuracy,total_count
no_personalization/chain_parallel,0.5838,10
no_personalization/chain_sequential,0.7060,10
no_personalization/confirmation_batch,0.6883,10
no_personalization/disambiguation_gradual,0.5684,7
no_personalization/disambiguation_upfront,0.5650,7
no_personalization/each_confirmation,0.6455,10
no_personalization/error_discovery_brief,0.5338,10
no_personalization/error_discovery_detail,0.5974,10
no_personalization/error_retry_escalation,0.3750,4
no_personalization/error_retry_silent,0.5208,4
no_personalization/info_collect_gradual,0.7396,10
no_personalization/info_collect_upfront,0.7052,10
no_personalization/param_high,0.5635,7
no_personalization/param_low,0.6635,10
no_personalization/param_medium,0.6001,10
no_personalization/presentation_compact,0.6912,10
no_personalization/presentation_layered,0.7696,10
no_personalization/silent,0.5738,10
no_personalization/source_high,0.6185,12
no_personalization/source_low,0.5637,12
no_personalization/tool_abortion_continue,0.6871,10
no_personalization/tool_abortion_stop,0.6560,10
no_personalization/tool_high,0.7476,7
no_personalization/tool_initiative_proactive,0.5506,10
no_personalization/tool_initiative_reactive,0.4862,10
no_personalization/tool_invocation_multiple,0.5687,8
no_personalization/tool_invocation_single,0.5542,8
no_personalization/tool_low,0.6087,10
no_personalization/tool_medium,0.7581,10
no_personalization/tool_switch_high_agency,0.5497,8
no_personalization/tool_switch_low_agency,0.5423,8
personalization/chain_parallel,0.6260,10
personalization/chain_sequential,0.6605,10
personalization/confirmation_batch,0.6760,10
personalization/disambiguation_gradual,0.5684,7
personalization/disambiguation_upfront,0.6126,7
personalization/each_confirmation,0.7448,10
personalization/error_discovery_brief,0.5529,10
personalization/error_discovery_detail,0.6505,10
personalization/error_retry_escalation,0.5208,4
personalization/error_retry_silent,0.4375,4
personalization/info_collect_gradual,0.7680,10
personalization/info_collect_upfront,0.7789,10
personalization/param_high,0.5992,7
personalization/param_low,0.6144,10
personalization/param_medium,0.6520,10
personalization/presentation_compact,0.7324,10
personalization/presentation_layered,0.8000,10
personalization/silent,0.6431,10
personalization/source_high,0.5998,12
personalization/source_low,0.5418,11
personalization/tool_abortion_continue,0.6249,10
personalization/tool_abortion_stop,0.6716,10
personalization/tool_high,0.7786,7
personalization/tool_initiative_proactive,0.5170,10
personalization/tool_initiative_reactive,0.4746,10
personalization/tool_invocation_multiple,0.5375,8
personalization/tool_invocation_single,0.5229,8
personalization/tool_low,0.6425,10
personalization/tool_medium,0.6337,10
personalization/tool_switch_high_agency,0.5110,8
personalization/tool_switch_low_agency,0.4589,8
no_personalization,0.6207,282
personalization,0.6256,281
overall,0.6231,563

persona,personalization_setting,personalization_accuracy,no_personalization_accuracy,accuracy_diff,personalization_total_count,no_personalization_total_count
chain_parallel,personalization,0.6260,0.5838,0.0422,10,10
chain_sequential,personalization,0.6605,0.7060,-0.0456,10,10
confirmation_batch,personalization,0.6760,0.6883,-0.0122,10,10
disambiguation_gradual,personalization,0.5684,0.5684,0.0000,7,7
disambiguation_upfront,personalization,0.6126,0.5650,0.0476,7,7
each_confirmation,personalization,0.7448,0.6455,0.0993,10,10
error_discovery_brief,personalization,0.5529,0.5338,0.0190,10,10
error_discovery_detail,personalization,0.6505,0.5974,0.0531,10,10
error_retry_escalation,personalization,0.5208,0.3750,0.1458,4,4
error_retry_silent,personalization,0.4375,0.5208,-0.0833,4,4
info_collect_gradual,personalization,0.7680,0.7396,0.0283,10,10
info_collect_upfront,personalization,0.7789,0.7052,0.0737,10,10
param_high,personalization,0.5992,0.5635,0.0357,7,7
param_low,personalization,0.6144,0.6635,-0.0490,10,10
param_medium,personalization,0.6520,0.6001,0.0519,10,10
presentation_compact,personalization,0.7324,0.6912,0.0412,10,10
presentation_layered,personalization,0.8000,0.7696,0.0304,10,10
silent,personalization,0.6431,0.5738,0.0693,10,10
source_high,personalization,0.5998,0.6185,-0.0187,12,12
source_low,personalization,0.5418,0.5637,-0.0219,11,12
tool_abortion_continue,personalization,0.6249,0.6871,-0.0622,10,10
tool_abortion_stop,personalization,0.6716,0.6560,0.0156,10,10
tool_high,personalization,0.7786,0.7476,0.0310,7,7
tool_initiative_proactive,personalization,0.5170,0.5506,-0.0336,10,10
tool_initiative_reactive,personalization,0.4746,0.4862,-0.0115,10,10
tool_invocation_multiple,personalization,0.5375,0.5687,-0.0312,8,8
tool_invocation_single,personalization,0.5229,0.5542,-0.0312,8,8
tool_low,personalization,0.6425,0.6087,0.0339,10,10
tool_medium,personalization,0.6337,0.7581,-0.1244,10,10
tool_switch_high_agency,personalization,0.5110,0.5497,-0.0387,8,8
tool_switch_low_agency,personalization,0.4589,0.5423,-0.0833,8,8

diff>0_personas,chain_parallel;disambiguation_gradual;disambiguation_upfront;each_confirmation;error_discovery_brief;error_discovery_detail;error_retry_escalation;info_collect_gradual;info_collect_upfront;param_high;param_medium;presentation_compact;presentation_layered;silent;tool_abortion_stop;tool_high;tool_low
diff<0_personas,chain_sequential;confirmation_batch;error_retry_silent;param_low;source_high;source_low;tool_abortion_continue;tool_initiative_proactive;tool_initiative_reactive;tool_invocation_multiple;tool_invocation_single;tool_medium;tool_switch_high_agency;tool_switch_low_agency
