persona,accuracy,total_count
no_personalization/chain_parallel,0.5794,10
no_personalization/chain_sequential,0.6016,10
no_personalization/confirmation_batch,0.5197,10
no_personalization/disambiguation_gradual,0.3255,7
no_personalization/disambiguation_upfront,0.3983,7
no_personalization/each_confirmation,0.5355,10
no_personalization/error_discovery_brief,0.4636,10
no_personalization/error_discovery_detail,0.4802,10
no_personalization/error_retry_escalation,0.3542,4
no_personalization/error_retry_silent,0.3542,4
no_personalization/info_collect_gradual,0.6311,10
no_personalization/info_collect_upfront,0.5933,10
no_personalization/param_high,0.2103,7
no_personalization/param_low,0.5801,10
no_personalization/param_medium,0.5336,10
no_personalization/presentation_compact,0.5285,10
no_personalization/presentation_layered,0.6150,10
no_personalization/silent,0.5569,10
no_personalization/source_high,0.5909,12
no_personalization/source_low,0.5385,12
no_personalization/tool_abortion_continue,0.5095,10
no_personalization/tool_abortion_stop,0.5038,10
no_personalization/tool_high,0.6452,7
no_personalization/tool_initiative_proactive,0.4340,10
no_personalization/tool_initiative_reactive,0.4280,10
no_personalization/tool_invocation_multiple,0.4646,8
no_personalization/tool_invocation_single,0.4958,8
no_personalization/tool_low,0.4120,10
no_personalization/tool_medium,0.4587,10
no_personalization/tool_switch_high_agency,0.3607,8
no_personalization/tool_switch_low_agency,0.3003,8
personalization/chain_parallel,0.5738,10
personalization/chain_sequential,0.5762,10
personalization/confirmation_batch,0.5906,10
personalization/disambiguation_gradual,0.3745,7
personalization/disambiguation_upfront,0.3745,7
personalization/each_confirmation,0.5995,10
personalization/error_discovery_brief,0.4436,10
personalization/error_discovery_detail,0.4921,10
personalization/error_retry_escalation,0.3542,4
personalization/error_retry_silent,0.3542,4
personalization/info_collect_gradual,0.5874,10
personalization/info_collect_upfront,0.6337,10
personalization/param_high,0.2540,7
personalization/param_low,0.5675,10
personalization/param_medium,0.5006,10
personalization/presentation_compact,0.5938,10
personalization/presentation_layered,0.5562,10
personalization/silent,0.5036,10
personalization/source_high,0.5714,12
personalization/source_low,0.5948,12
personalization/tool_abortion_continue,0.5705,10
personalization/tool_abortion_stop,0.5651,10
personalization/tool_high,0.5643,7
personalization/tool_initiative_proactive,0.4274,10
personalization/tool_initiative_reactive,0.4321,10
personalization/tool_invocation_multiple,0.5021,8
personalization/tool_invocation_single,0.4458,8
personalization/tool_low,0.5027,10
personalization/tool_medium,0.5173,10
personalization/tool_switch_high_agency,0.3402,8
