persona,accuracy,total_count
no_personalization/chain_parallel,0.6805,10
no_personalization/chain_sequential,0.5798,8
no_personalization/confirmation_batch,0.6686,9
no_personalization/disambiguation_gradual,0.6612,7
no_personalization/disambiguation_upfront,0.6531,7
no_personalization/each_confirmation,0.6612,10
no_personalization/error_discovery_brief,0.6579,9
no_personalization/error_discovery_detail,0.5873,9
no_personalization/error_retry_escalation,0.5208,4
no_personalization/error_retry_silent,0.5833,4
no_personalization/info_collect_gradual,0.6442,8
no_personalization/info_collect_upfront,0.5560,8
no_personalization/param_high,0.5357,7
no_personalization/param_low,0.4963,10
no_personalization/param_medium,0.6876,10
no_personalization/presentation_compact,0.7244,10
no_personalization/presentation_layered,0.7250,9
no_personalization/silent,0.6014,10
no_personalization/source_high,0.4569,9
no_personalization/source_low,0.6169,12
no_personalization/tool_abortion_continue,0.5942,9
no_personalization/tool_abortion_stop,0.7527,10
no_personalization/tool_high,0.8222,6
no_personalization/tool_initiative_proactive,0.4779,10
no_personalization/tool_initiative_reactive,0.5626,7
no_personalization/tool_invocation_multiple,0.6222,6
no_personalization/tool_invocation_single,0.3667,8
no_personalization/tool_low,0.6258,10
no_personalization/tool_medium,0.5248,10
no_personalization/tool_switch_high_agency,0.5015,8
no_personalization/tool_switch_low_agency,0.5557,8
personalization/chain_parallel,0.6141,9
personalization/chain_sequential,0.7860,10
personalization/confirmation_batch,0.5103,8
personalization/disambiguation_gradual,0.7457,5
personalization/disambiguation_upfront,0.6888,7
personalization/each_confirmation,0.7564,10
personalization/error_discovery_brief,0.7026,9
personalization/error_discovery_detail,0.6417,8
personalization/error_retry_escalation,0.5208,4
personalization/error_retry_silent,0.7500,2
personalization/info_collect_gradual,0.7811,10
personalization/info_collect_upfront,0.7432,7
personalization/param_high,0.5238,7
personalization/param_low,0.6239,10
personalization/param_medium,0.6905,10
personalization/presentation_compact,0.5155,10
personalization/presentation_layered,0.7633,10
personalization/silent,0.6471,10
personalization/source_high,0.6232,8
personalization/source_low,0.6054,11
personalization/tool_abortion_continue,0.5894,10
personalization/tool_abortion_stop,0.6370,9
personalization/tool_high,0.8500,4
personalization/tool_initiative_proactive,0.5112,10
personalization/tool_initiative_reactive,0.5706,10
personalization/tool_invocation_multiple,0.4889,6
